date,closeprice
2018-03-06,273.3
2018-03-07,274.5
2018-03-08,274.0
2018-03-09,272.55
2018-03-12,272.5
2018-03-13,272.3
2018-03-14,272.75
2018-03-15,272.5
2018-03-16,271.35
2018-03-19,270.05
2018-03-20,271.2
2018-03-21,271.15
2018-03-22,273.5
2018-03-23,276.5
2018-03-26,276.15
2018-03-27,275.8
2018-03-28,274.2
2018-03-29,271.05
2018-03-30,271.55
2018-04-02,271.75
2018-04-03,273.75
2018-04-04,273.4
2018-04-09,272.55
2018-04-10,272.7
2018-04-11,274.3
2018-04-12,275.2
2018-04-13,273.15
2018-04-16,274.25
2018-04-17,274.65
2018-04-18,274.5
2018-04-19,275.2
2018-04-20,273.85
2018-04-23,272.55
2018-04-24,271.85
2018-04-25,271.6
2018-04-26,271.9
2018-04-27,271.15
2018-05-02,271.95
2018-05-03,272.1
2018-05-04,272.47
2018-05-07,273.52
2018-05-08,273.86
2018-05-09,273.84
2018-05-10,274.29
2018-05-11,274.6
2018-05-14,274.47
2018-05-15,273.31
2018-05-16,270.72
2018-05-17,269.4
2018-05-18,269.91
2018-05-21,269.14
2018-05-22,269.72
2018-05-23,270.13
2018-05-24,271.71
2018-05-25,273.22
2018-05-28,272.09
2018-05-29,272.9
2018-05-30,273.96
2018-05-31,274.25
2018-06-01,273.85
2018-06-04,272.4
2018-06-05,271.9
2018-06-06,272.4
2018-06-07,272.15
2018-06-08,272.1
2018-06-11,272.7
2018-06-12,272.4
2018-06-13,272.1
2018-06-14,273.35
2018-06-15,273.65
2018-06-19,271.4
2018-06-20,270.2
2018-06-21,269.45
2018-06-22,270.55
2018-06-25,271.15
2018-06-26,271.25
2018-06-27,271.6
2018-06-28,270.9
2018-06-29,271.4
2018-07-02,272.1
2018-07-03,271.9
2018-07-04,272.65
2018-07-05,272.75
2018-07-06,273.25
2018-07-09,273.1
2018-07-10,272.0
2018-07-11,272.85
2018-07-12,271.9
2018-07-13,271.7
2018-07-16,272.05
2018-07-17,271.55
2018-07-18,269.05
2018-07-19,270.3
2018-07-20,270.65
2018-07-23,271.9
2018-07-24,271.7
2018-07-25,271.7
2018-07-26,272.1
2018-07-27,271.5
2018-07-30,271.55
2018-07-31,271.65
2018-08-01,271.45
2018-08-02,270.75
2018-08-03,270.2
2018-08-06,270.25
2018-08-07,270.1
2018-08-08,269.5
2018-08-09,269.55
2018-08-10,269.4
2018-08-13,270.1
2018-08-14,267.65
2018-08-15,267.4
2018-08-16,264.0
2018-08-17,263.4
2018-08-20,265.15
2018-08-21,266.35
2018-08-22,266.25
2018-08-23,266.2
2018-08-24,266.3
2018-08-27,267.45
2018-08-28,268.3
2018-08-29,267.05
2018-08-30,267.45
2018-08-31,267.8
2018-09-03,266.6
2018-09-04,265.6
2018-09-05,265.6
2018-09-06,266.4
2018-09-07,267.2
2018-09-10,266.25
2018-09-11,267.0
2018-09-12,266.8
2018-09-13,268.1
2018-09-14,268.65
2018-09-17,267.35
2018-09-18,267.65
2018-09-19,267.95
2018-09-20,268.2
2018-09-21,269.05
2018-09-25,267.95
2018-09-26,268.35
2018-09-27,267.4
2018-09-28,264.9
2018-10-08,268.65
2018-10-09,267.9
2018-10-10,267.9
2018-10-11,269.45
2018-10-12,272.85
2018-10-15,275.35
2018-10-16,275.25
2018-10-17,274.5
2018-10-18,274.75
2018-10-19,276.05
2018-10-22,275.85
2018-10-23,276.95
2018-10-24,277.15
2018-10-25,278.5
2018-10-26,278.3
2018-10-29,277.85
2018-10-30,277.25
2018-10-31,274.9
2018-11-01,276.76
2018-11-02,277.09
2018-11-05,277.28
2018-11-06,277.45
2018-11-07,277.79
2018-11-08,277.02
2018-11-09,276.41
2018-11-12,274.78
2018-11-13,274.23
2018-11-14,274.46
2018-11-15,276.09
2018-11-16,276.82
2018-11-19,277.52
2018-11-20,278.51
2018-11-21,278.48
2018-11-22,279.08
2018-11-23,279.03
2018-11-26,279.03
2018-11-27,278.46
2018-11-28,277.26
2018-11-29,279.37
2018-11-30,279.21
2018-12-03,278.35
2018-12-04,278.35
2018-12-05,278.9
2018-12-06,279.9
2018-12-07,280.25
2018-12-10,283.1
2018-12-11,282.65
2018-12-12,281.2
2018-12-13,280.8
2018-12-14,280.35
2018-12-17,280.2
2018-12-18,281.9
2018-12-19,282.55
2018-12-20,282.15
2018-12-21,284.8
2018-12-24,285.45
2018-12-25,287.1
2018-12-26,287.5
2018-12-27,286.3
2018-12-28,287.85
2019-01-02,288.3
2019-01-03,290.7
2019-01-04,290.55
2019-01-07,288.65
2019-01-08,287.25
2019-01-09,286.2
2019-01-10,286.9
2019-01-11,284.95
2019-01-14,285.05
2019-01-15,284.3
2019-01-16,284.6
2019-01-17,285.1
2019-01-18,285.05
2019-01-21,283.2
2019-01-22,283.25
2019-01-23,283.6
2019-01-24,283.3
2019-01-25,282.9
2019-01-28,285.6
2019-01-29,286.6
2019-01-30,287.55
2019-01-31,287.85
2019-02-01,289.2
2019-02-11,288.75
2019-02-12,288.85
2019-02-13,288.25
2019-02-14,287.6
2019-02-15,289.6
2019-02-18,290.95
2019-02-19,291.35
2019-02-20,293.35
2019-02-21,291.5
2019-02-22,289.6
2019-02-25,289.3
2019-02-26,289.0
2019-02-27,288.65
2019-02-28,286.85
2019-03-01,285.85
2019-03-04,281.8
2019-03-05,280.8
2019-03-06,282.35
